epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,1685.49,0.65401,0.42079,0.97086,0.81722,0.68945,0.72255,0.44941,1.38814,0.83448,1.3444,0.002971,0.002971,0.002971
144,1697.09,0.64759,0.41386,0.96942,0.78304,0.73375,0.7453,0.4613,1.39082,0.77536,1.34683,0.0029215,0.0029215,0.0029215
145,1708.9,0.64809,0.4186,0.97166,0.75815,0.68512,0.70909,0.45497,1.35953,0.79757,1.33312,0.002872,0.002872,0.002872
146,1720.5,0.64314,0.4091,0.96465,0.8329,0.64693,0.72263,0.47802,1.36041,0.83028,1.36006,0.0028225,0.0028225,0.0028225
147,1732.18,0.63635,0.40697,0.96248,0.88304,0.66171,0.72664,0.47114,1.38785,0.79006,1.37003,0.002773,0.002773,0.002773
148,1744.02,0.65656,0.41246,0.96534,0.82878,0.69529,0.73981,0.45356,1.40546,0.77783,1.35031,0.0027235,0.0027235,0.0027235
149,1755.68,0.63301,0.40276,0.95841,0.89024,0.66854,0.71935,0.45074,1.36764,0.82771,1.35797,0.002674,0.002674,0.002674
150,1767.28,0.63547,0.40201,0.96141,0.89313,0.67338,0.72309,0.46282,1.31698,0.8265,1.35004,0.0026245,0.0026245,0.0026245
151,1779.07,0.62059,0.39277,0.95605,0.75543,0.70075,0.71778,0.45524,1.36645,0.81026,1.34279,0.002575,0.002575,0.002575
152,1790.68,0.63285,0.39638,0.95752,0.83091,0.699,0.73648,0.45649,1.40276,0.80864,1.35465,0.0025255,0.0025255,0.0025255
153,1802.33,0.61771,0.39385,0.9586,0.8223,0.68542,0.72026,0.46142,1.33469,0.847,1.33008,0.002476,0.002476,0.002476
154,1814.11,0.61946,0.3924,0.95387,0.86988,0.71335,0.73407,0.4757,1.35654,0.8386,1.35116,0.0024265,0.0024265,0.0024265
155,1825.94,0.61073,0.38912,0.95226,0.86287,0.65524,0.7175,0.45426,1.35447,0.78534,1.34947,0.002377,0.002377,0.002377
156,1837.74,0.61799,0.38929,0.95117,0.78074,0.68908,0.69453,0.44108,1.34659,0.79592,1.35794,0.0023275,0.0023275,0.0023275
157,1849.56,0.60675,0.38582,0.94411,0.82504,0.68216,0.72851,0.4639,1.41657,0.8559,1.35299,0.002278,0.002278,0.002278
158,1861.14,0.61804,0.38623,0.94732,0.89538,0.65728,0.72079,0.45846,1.37109,0.79873,1.32899,0.0022285,0.0022285,0.0022285
159,1872.98,0.61971,0.38881,0.94818,0.86705,0.69594,0.7277,0.46733,1.30662,0.78617,1.31268,0.002179,0.002179,0.002179
160,1884.58,0.63261,0.39448,0.9572,0.78543,0.6729,0.70526,0.45642,1.35445,0.77856,1.32426,0.0021295,0.0021295,0.0021295
161,1896.4,0.6295,0.39088,0.95627,0.76825,0.70445,0.71737,0.45624,1.34166,0.79587,1.33021,0.00208,0.00208,0.00208
162,1908.05,0.59827,0.37846,0.94721,0.83925,0.69103,0.73793,0.45949,1.32231,0.80168,1.34108,0.0020305,0.0020305,0.0020305
163,1919.89,0.60788,0.3816,0.95093,0.82318,0.67905,0.73754,0.48904,1.32748,0.77284,1.33376,0.001981,0.001981,0.001981
164,1931.92,0.59765,0.38023,0.94442,0.83727,0.69754,0.73818,0.47104,1.35841,0.80895,1.3483,0.0019315,0.0019315,0.0019315
165,1943.55,0.60558,0.38391,0.94902,0.80436,0.70548,0.7387,0.46648,1.39406,0.8064,1.35303,0.001882,0.001882,0.001882
166,1955.32,0.5974,0.37937,0.9419,0.85556,0.66992,0.72075,0.46017,1.38794,0.81982,1.3471,0.0018325,0.0018325,0.0018325
167,1966.95,0.59989,0.37967,0.94427,0.84699,0.65066,0.68216,0.45441,1.33926,0.8159,1.32947,0.001783,0.001783,0.001783
168,1978.54,0.5943,0.37785,0.94269,0.83469,0.70034,0.74087,0.47025,1.34979,0.75146,1.32667,0.0017335,0.0017335,0.0017335
169,1990.36,0.58635,0.3703,0.93899,0.79937,0.68318,0.73658,0.48346,1.31482,0.74314,1.28994,0.001684,0.001684,0.001684
170,2001.97,0.59244,0.37544,0.94153,0.83915,0.66996,0.727,0.47614,1.34846,0.7821,1.3189,0.0016345,0.0016345,0.0016345
171,2013.77,0.59241,0.37337,0.94145,0.82282,0.68854,0.72932,0.48183,1.33394,0.74421,1.33762,0.001585,0.001585,0.001585
172,2025.36,0.59748,0.37636,0.94339,0.7653,0.69821,0.72346,0.47713,1.31871,0.7482,1.33822,0.0015355,0.0015355,0.0015355
173,2037.17,0.58539,0.36793,0.93889,0.82145,0.68819,0.73137,0.48711,1.32654,0.79438,1.32753,0.001486,0.001486,0.001486
174,2048.93,0.59183,0.37271,0.9395,0.84762,0.66941,0.71774,0.47176,1.35351,0.78232,1.32278,0.0014365,0.0014365,0.0014365
175,2060.75,0.58437,0.37244,0.94204,0.83051,0.64129,0.716,0.47126,1.33556,0.78955,1.33015,0.001387,0.001387,0.001387
176,2072.35,0.58971,0.37162,0.94322,0.80648,0.63979,0.69289,0.45729,1.32872,0.80413,1.35702,0.0013375,0.0013375,0.0013375
177,2084.18,0.57859,0.3662,0.93777,0.81406,0.66026,0.70967,0.45776,1.38723,0.79735,1.37044,0.001288,0.001288,0.001288
178,2095.76,0.58403,0.37342,0.94056,0.83427,0.64224,0.69435,0.45362,1.35652,0.81186,1.36109,0.0012385,0.0012385,0.0012385
179,2107.34,0.56694,0.36111,0.92683,0.8281,0.64646,0.69732,0.45177,1.32039,0.7954,1.37844,0.001189,0.001189,0.001189
180,2119.1,0.56254,0.35889,0.92958,0.87951,0.64906,0.71403,0.46921,1.3228,0.80702,1.37453,0.0011395,0.0011395,0.0011395
181,2130.76,0.57265,0.36477,0.93523,0.84694,0.68283,0.73783,0.47632,1.34296,0.78413,1.36399,0.00109,0.00109,0.00109
182,2142.55,0.57325,0.36448,0.93164,0.8503,0.6786,0.74672,0.48129,1.35753,0.77397,1.34655,0.0010405,0.0010405,0.0010405
183,2154.34,0.56569,0.35868,0.93166,0.80285,0.69198,0.73531,0.46965,1.33666,0.80533,1.33594,0.000991,0.000991,0.000991
184,2166.11,0.55684,0.35393,0.92924,0.82081,0.70873,0.74277,0.48012,1.36445,0.81034,1.3482,0.0009415,0.0009415,0.0009415
